cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.23337221145629883,8.58306884765625e-06,0.2728409767150879,1.1920928955078125e-06,0.5527157783508301,latency_loss,0.617,0.617,1.05893874168396,0
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.22736096382141113,5.0067901611328125e-06,0.2656853199005127,9.5367431640625e-07,0.5432121753692627,latency_loss,0.565,0.565,1.036264419555664,1
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.21733355522155762,1.0251998901367188e-05,0.27809906005859375,9.5367431640625e-07,0.54486083984375,latency_loss,0.583,0.583,1.0403046607971191,2
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.23818516731262207,6.67572021484375e-06,0.2509312629699707,9.5367431640625e-07,0.534705638885498,latency_loss,0.555,0.555,1.023829698562622,3
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.2513298988342285,7.62939453125e-06,0.27430224418640137,1.1920928955078125e-06,0.5650641918182373,latency_loss,0.585,0.585,1.090705156326294,4
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.4278297424316406,1.7404556274414062e-05,0.7980208396911621,2.384185791015625e-06,1.3419482707977295,latency_loss,1.366,1.366,0.2567818641662598,0
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.39736366271972656,1.52587890625e-05,0.6402568817138672,2.6226043701171875e-06,1.213045597076416,latency_loss,1.307,1.307,0.22506840229034425,1
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.4128272533416748,1.8358230590820312e-05,0.8160126209259033,3.0994415283203125e-06,1.4079902172088623,latency_loss,1.435,1.435,0.26368515491485595,2
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.44582366943359375,1.6450881958007812e-05,0.732130765914917,5.0067901611328125e-06,1.3394057750701904,latency_loss,1.366,1.366,0.251738166809082,3
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.5138590335845947,2.002716064453125e-05,0.7934229373931885,2.1457672119140625e-06,1.4257583618164062,latency_loss,1.492,1.492,0.2733062505722046,4
1,1,1Gi,0.4,1.0,0.7,0.2,1.0,0.27114081382751465,1.71661376953125e-05,0.24977874755859375,4.0531158447265625e-06,0.5688650608062744,latency_loss,0.589,0.589,0.8521844863891601,0
1,1,1Gi,0.4,1.0,0.7,0.2,1.0,0.24703764915466309,7.3909759521484375e-06,0.2578275203704834,3.0994415283203125e-06,0.5556042194366455,latency_loss,0.575,0.575,0.8349065542221069,1
1,1,1Gi,0.4,1.0,0.7,0.2,1.0,0.24698734283447266,1.3113021850585938e-05,0.24565386772155762,3.0994415283203125e-06,0.5451743602752686,latency_loss,0.565,0.565,0.8159407377243042,2
1,1,1Gi,0.4,1.0,0.7,0.2,1.0,0.2780582904815674,7.152557373046875e-06,0.2776045799255371,3.0994415283203125e-06,0.6042964458465576,latency_loss,0.626,0.626,0.9098507404327393,3
1,1,1Gi,0.4,1.0,0.7,0.2,1.0,0.25433921813964844,7.152557373046875e-06,0.2714266777038574,3.337860107421875e-06,0.5740511417388916,latency_loss,0.597,0.597,0.8657933235168458,4
1,1,1Gi,1.0,0.1,1.0,1.0,0.8,0.24936246871948242,2.2172927856445312e-05,0.2638561725616455,9.5367431640625e-07,0.554135799407959,latency_loss,0.617,0.617,0.9565304517745972,0
1,1,1Gi,1.0,0.1,1.0,1.0,0.8,0.20582246780395508,1.6450881958007812e-05,0.25945186614990234,9.5367431640625e-07,0.5143537521362305,latency_loss,0.542,0.542,0.876759934425354,1
1,1,1Gi,1.0,0.1,1.0,1.0,0.8,0.23934435844421387,1.5974044799804688e-05,0.27374267578125,9.5367431640625e-07,0.5675959587097168,latency_loss,0.615,0.615,0.9671663522720337,2
1,1,1Gi,1.0,0.1,1.0,1.0,0.8,0.23737311363220215,2.3126602172851562e-05,0.2832658290863037,2.6226043701171875e-06,0.564831018447876,latency_loss,0.586,0.586,0.9725086927413942,3
1,1,1Gi,1.0,0.1,1.0,1.0,0.8,0.23487114906311035,1.5020370483398438e-05,0.27880406379699707,1.1920928955078125e-06,0.5654826164245605,latency_loss,0.586,0.586,0.9660640001296996,4
1,1,1Gi,0.1,1.0,0.9,0.1,1.0,0.3087124824523926,5.4836273193359375e-06,0.28806090354919434,3.0994415283203125e-06,0.6546521186828613,latency_loss,0.683,0.683,0.9447839736938477,0
1,1,1Gi,0.1,1.0,0.9,0.1,1.0,0.3001875877380371,5.9604644775390625e-06,0.23030686378479004,2.86102294921875e-06,0.575157880783081,latency_loss,0.664,0.664,0.8124590635299682,1
1,1,1Gi,0.1,1.0,0.9,0.1,1.0,0.3434486389160156,1.1920928955078125e-05,0.28027820587158203,3.0994415283203125e-06,0.6699032783508301,latency_loss,0.699,0.699,0.9565107583999635,2
1,1,1Gi,0.1,1.0,0.9,0.1,1.0,0.2971982955932617,6.4373016357421875e-06,0.2300090789794922,3.814697265625e-06,0.5782394409179688,latency_loss,0.66,0.66,0.8149742603302002,3
1,1,1Gi,0.1,1.0,0.9,0.1,1.0,0.3030383586883545,6.67572021484375e-06,0.23281049728393555,3.337860107421875e-06,0.5833141803741455,latency_loss,0.607,0.607,0.8231544733047486,4
1,1,1Gi,1.0,1.0,0.5,1.0,1.0,0.2541632652282715,7.152557373046875e-06,0.2653350830078125,2.384185791015625e-06,0.5751752853393555,latency_loss,0.648,0.648,0.9620156288146973,0
1,1,1Gi,1.0,1.0,0.5,1.0,1.0,0.2150726318359375,1.3589859008789062e-05,0.32752466201782227,1.6689300537109375e-06,0.5950610637664795,latency_loss,0.618,0.618,0.9739112854003906,1
1,1,1Gi,1.0,1.0,0.5,1.0,1.0,0.23519659042358398,1.4781951904296875e-05,0.27460575103759766,1.1920928955078125e-06,0.5639598369598389,latency_loss,0.584,0.584,0.9364752769470215,2
1,1,1Gi,1.0,1.0,0.5,1.0,1.0,0.21912693977355957,2.9802322387695312e-05,0.31676459312438965,9.5367431640625e-07,0.5854544639587402,latency_loss,0.664,0.664,0.9629944562911987,3
1,1,1Gi,1.0,1.0,0.5,1.0,1.0,0.23424148559570312,6.4373016357421875e-06,0.2774653434753418,9.5367431640625e-07,0.56424880027771,latency_loss,0.641,0.641,0.9372303485870361,4
1,1,1Gi,0.4,0.6,0.6,0.4,0.2,0.34742164611816406,1.3589859008789062e-05,0.374805212020874,5.7220458984375e-06,0.8025262355804443,latency_loss,0.827,0.827,0.5243674755096436,0
1,1,1Gi,0.4,0.6,0.6,0.4,0.2,0.3923912048339844,1.3113021850585938e-05,0.38419198989868164,3.337860107421875e-06,0.8295631408691406,latency_loss,0.854,0.854,0.5533935070037842,1
1,1,1Gi,0.4,0.6,0.6,0.4,0.2,0.31427550315856934,2.765655517578125e-05,0.402846097946167,3.0994415283203125e-06,0.7700235843658447,latency_loss,0.835,0.835,0.5214404106140136,2
1,1,1Gi,0.4,0.6,0.6,0.4,0.2,0.31297755241394043,1.9788742065429688e-05,0.40454721450805664,2.6226043701171875e-06,0.8313617706298828,latency_loss,0.878,0.878,0.5342046260833739,3
1,1,1Gi,0.4,0.6,0.6,0.4,0.2,0.3366117477416992,1.5497207641601562e-05,0.5177826881408691,4.0531158447265625e-06,0.9525389671325684,latency_loss,0.978,0.978,0.6358330249786377,4
1,1,1Gi,1.0,0.1,0.8,0.1,1.0,0.2585916519165039,2.5272369384765625e-05,0.3506045341491699,4.0531158447265625e-06,0.6684458255767822,latency_loss,0.696,0.696,1.207524037361145,0
1,1,1Gi,1.0,0.1,0.8,0.1,1.0,0.2781352996826172,1.33514404296875e-05,0.2879819869995117,3.5762786865234375e-06,0.6165969371795654,latency_loss,0.644,0.644,1.1251195192337038,1
1,1,1Gi,1.0,0.1,0.8,0.1,1.0,0.26775527000427246,2.765655517578125e-05,0.29042625427246094,4.0531158447265625e-06,0.6102602481842041,latency_loss,0.64,0.64,1.1103596925735475,2
1,1,1Gi,1.0,0.1,0.8,0.1,1.0,0.32875585556030273,2.9802322387695312e-05,0.30464720726013184,2.6226043701171875e-06,0.6943879127502441,latency_loss,0.743,0.743,1.2668647766113281,3
1,1,1Gi,1.0,0.1,0.8,0.1,1.0,0.23515677452087402,1.5497207641601562e-05,0.3080289363861084,3.5762786865234375e-06,0.5980327129364014,latency_loss,0.627,0.627,1.0796145439147948,4
1,1,1Gi,0.1,1.0,0.8,1.0,1.0,0.45174288749694824,1.1444091796875e-05,0.29351329803466797,7.152557373046875e-07,0.7962801456451416,latency_loss,0.875,0.875,1.076277232170105,0
1,1,1Gi,0.1,1.0,0.8,1.0,1.0,0.33335208892822266,7.867813110351562e-06,0.29703521728515625,1.1920928955078125e-06,0.6878166198730469,latency_loss,0.753,0.753,0.9587890625,1
1,1,1Gi,0.1,1.0,0.8,1.0,1.0,0.34770798683166504,1.3113021850585938e-05,0.2807033061981201,9.5367431640625e-07,0.6798365116119385,latency_loss,0.709,0.709,0.939184021949768,2
1,1,1Gi,0.1,1.0,0.8,1.0,1.0,0.37388181686401367,1.0967254638671875e-05,0.3115544319152832,9.5367431640625e-07,0.7403872013092041,latency_loss,0.813,0.813,1.027030849456787,3
1,1,1Gi,0.1,1.0,0.8,1.0,1.0,0.37004566192626953,7.62939453125e-06,0.2555575370788574,1.1920928955078125e-06,0.6841022968292236,latency_loss,0.72,0.72,0.9255617141723633,4
1,1,1Gi,0.6,1.0,1.0,1.0,1.0,0.22217440605163574,1.2159347534179688e-05,0.2626199722290039,1.430511474609375e-06,0.528839111328125,latency_loss,0.607,0.607,0.9247773170471192,0
1,1,1Gi,0.6,1.0,1.0,1.0,1.0,0.2687685489654541,1.9073486328125e-05,0.2869911193847656,1.430511474609375e-06,0.6058943271636963,latency_loss,0.638,0.638,1.0541670799255372,1
1,1,1Gi,0.6,1.0,1.0,1.0,1.0,0.26743531227111816,2.956390380859375e-05,0.30248308181762695,9.5367431640625e-07,0.6161525249481201,latency_loss,0.638,0.638,1.079127311706543,2
1,1,1Gi,0.6,1.0,1.0,1.0,1.0,0.36124086380004883,5.4836273193359375e-06,0.3033320903778076,7.152557373046875e-07,0.7079064846038818,latency_loss,0.73,0.73,1.2279892921447755,3
1,1,1Gi,0.6,1.0,1.0,1.0,1.0,0.22880339622497559,1.2636184692382812e-05,0.2503046989440918,1.1920928955078125e-06,0.5286030769348145,latency_loss,0.56,0.56,0.9162036418914795,4
1,1,1Gi,1.0,0.6,1.0,0.1,0.8,0.24761509895324707,1.71661376953125e-05,0.27197718620300293,3.337860107421875e-06,0.56667160987854,latency_loss,0.644,0.644,0.97294020652771,0
1,1,1Gi,1.0,0.6,1.0,0.1,0.8,0.22348737716674805,4.57763671875e-05,0.30912113189697266,4.291534423828125e-06,0.5778965950012207,latency_loss,0.604,0.604,0.9949536800384522,1
1,1,1Gi,1.0,0.6,1.0,0.1,0.8,0.2582066059112549,3.0279159545898438e-05,0.2805216312408447,2.86102294921875e-06,0.5886764526367188,latency_loss,0.612,0.612,1.0096878528594972,2
1,1,1Gi,1.0,0.6,1.0,0.1,0.8,0.2481706142425537,1.6450881958007812e-05,0.24635553359985352,5.245208740234375e-06,0.5431840419769287,latency_loss,0.582,0.582,0.929083776473999,3
1,1,1Gi,1.0,0.6,1.0,0.1,0.8,0.23143839836120605,1.5735626220703125e-05,0.3088853359222412,3.0994415283203125e-06,0.5875308513641357,latency_loss,0.661,0.661,1.010358166694641,4
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,0.27153706550598145,6.67572021484375e-06,0.6884415149688721,9.5367431640625e-07,1.082221269607544,latency_loss,1.108,1.108,0.4486109733581543,0
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,0.25081562995910645,5.7220458984375e-06,0.9254519939422607,1.6689300537109375e-06,1.2375104427337646,latency_loss,1.262,1.262,0.4671192646026611,1
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,0.28185105323791504,7.152557373046875e-06,0.7096459865570068,7.152557373046875e-07,1.098369836807251,latency_loss,1.123,1.123,0.4626605033874512,2
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,0.2825198173522949,7.3909759521484375e-06,0.7767901420593262,9.5367431640625e-07,1.1236121654510498,latency_loss,1.194,1.194,0.4725683927536011,3
1,1,1Gi,1.0,1.0,0.1,1.0,0.1,0.29520678520202637,1.52587890625e-05,0.7515804767608643,9.5367431640625e-07,1.1620843410491943,latency_loss,1.247,1.247,0.4865894794464111,4
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,0.26130104064941406,6.4373016357421875e-06,0.3088545799255371,4.0531158447265625e-06,0.6746492385864258,latency_loss,0.708,0.708,0.637627387046814,0
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,0.2591416835784912,1.3828277587890625e-05,0.2698538303375244,5.4836273193359375e-06,0.6366329193115234,latency_loss,0.664,0.664,0.5926731824874878,1
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,0.2774696350097656,9.059906005859375e-06,0.2850961685180664,2.384185791015625e-06,0.6443109512329102,latency_loss,0.676,0.676,0.627006196975708,2
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,0.3124697208404541,5.4836273193359375e-06,0.31050825119018555,3.337860107421875e-06,0.7292327880859375,latency_loss,0.755,0.755,0.6959070682525634,3
1,1,1Gi,1.0,1.0,1.0,0.1,0.1,0.23333334922790527,1.1682510375976562e-05,0.30190515518188477,2.1457672119140625e-06,0.6068553924560547,latency_loss,0.676,0.676,0.5959359407424927,4
1,1,1Gi,1.0,1.0,0.8,1.0,1.0,0.26868343353271484,9.059906005859375e-06,0.2786076068878174,9.5367431640625e-07,0.5982129573822021,latency_loss,0.627,0.627,1.0897924900054932,0
1,1,1Gi,1.0,1.0,0.8,1.0,1.0,0.2608473300933838,2.574920654296875e-05,0.25580739974975586,9.5367431640625e-07,0.5600254535675049,latency_loss,0.587,0.587,1.0255454063415528,1
1,1,1Gi,1.0,1.0,0.8,1.0,1.0,0.24598217010498047,1.049041748046875e-05,0.28737974166870117,2.384185791015625e-06,0.5842030048370361,latency_loss,0.606,0.606,1.0601018428802491,2
1,1,1Gi,1.0,1.0,0.8,1.0,1.0,0.26662540435791016,9.059906005859375e-06,0.2780478000640869,2.384185791015625e-06,0.5965633392333984,latency_loss,0.662,0.662,1.085638427734375,3
1,1,1Gi,1.0,1.0,0.8,1.0,1.0,0.2633965015411377,1.049041748046875e-05,0.24875473976135254,2.1457672119140625e-06,0.5555284023284912,latency_loss,0.578,0.578,1.0179413318634034,4
1,1,1Gi,1.0,1.0,1.0,1.0,0.4,0.23623251914978027,5.7220458984375e-06,0.2956416606903076,7.152557373046875e-07,0.5863239765167236,latency_loss,0.672,0.672,0.7664102077484131,0
1,1,1Gi,1.0,1.0,1.0,1.0,0.4,0.22095918655395508,1.9788742065429688e-05,0.2828843593597412,7.152557373046875e-07,0.5448558330535889,latency_loss,0.573,0.573,0.7218063831329345,1
1,1,1Gi,1.0,1.0,1.0,1.0,0.4,0.23540663719177246,1.3828277587890625e-05,0.2531147003173828,1.1920928955078125e-06,0.545464277267456,latency_loss,0.575,0.575,0.7067220687866211,2
1,1,1Gi,1.0,1.0,1.0,1.0,0.4,0.2340373992919922,8.106231689453125e-06,0.2826569080352783,1.6689300537109375e-06,0.5615253448486328,latency_loss,0.589,0.589,0.7413142204284668,3
1,1,1Gi,1.0,1.0,1.0,1.0,0.4,0.27498507499694824,6.9141387939453125e-06,0.29291844367980957,9.5367431640625e-07,0.6117243766784668,latency_loss,0.687,0.687,0.8126011371612549,4
1,1,1Gi,0.6,1.0,0.9,0.1,1.0,0.279327392578125,1.3113021850585938e-05,0.27274489402770996,3.337860107421875e-06,0.5992453098297119,latency_loss,0.664,0.664,1.0123255968093872,0
1,1,1Gi,0.6,1.0,0.9,0.1,1.0,0.25940561294555664,6.9141387939453125e-06,0.27323341369628906,3.814697265625e-06,0.581043004989624,latency_loss,0.613,0.613,0.9826037406921386,1
1,1,1Gi,0.6,1.0,0.9,0.1,1.0,0.2702479362487793,8.106231689453125e-06,0.2647416591644287,2.86102294921875e-06,0.5788512229919434,latency_loss,0.649,0.649,0.9792758703231812,2
1,1,1Gi,0.6,1.0,0.9,0.1,1.0,0.2799389362335205,7.3909759521484375e-06,0.29134583473205566,3.814697265625e-06,0.6181230545043945,latency_loss,0.659,0.659,1.0483054399490357,3
1,1,1Gi,0.6,1.0,0.9,0.1,1.0,0.268963098526001,6.4373016357421875e-06,0.2842552661895752,4.0531158447265625e-06,0.5979995727539062,latency_loss,0.626,0.626,1.0152140140533448,4
1,1,1Gi,0.3,1.0,1.0,1.0,0.5,0.3382225036621094,9.298324584960938e-06,0.29698657989501953,9.5367431640625e-07,0.6857438087463379,latency_loss,0.772,0.772,0.7413354873657226,0
1,1,1Gi,0.3,1.0,1.0,1.0,0.5,0.2884483337402344,1.0251998901367188e-05,0.3580141067504883,1.430511474609375e-06,0.7010674476623535,latency_loss,0.732,0.732,0.7950940132141113,1
1,1,1Gi,0.3,1.0,1.0,1.0,0.5,0.32529139518737793,6.67572021484375e-06,0.31916332244873047,1.9073486328125e-06,0.693859338760376,latency_loss,0.718,0.718,0.7636889934539794,2
1,1,1Gi,0.3,1.0,1.0,1.0,0.5,0.3374056816101074,8.106231689453125e-06,0.26789307594299316,1.1920928955078125e-06,0.6628272533416748,latency_loss,0.737,0.737,0.7005377054214478,3
1,1,1Gi,0.3,1.0,1.0,1.0,0.5,0.35137152671813965,1.0728836059570312e-05,0.29592156410217285,9.5367431640625e-07,0.7175536155700684,latency_loss,0.756,0.756,0.760121512413025,4
1,1,1Gi,0.1,1.0,0.6,0.1,1.0,0.36757826805114746,7.152557373046875e-06,0.27123284339904785,2.384185791015625e-06,0.6910746097564697,latency_loss,0.722,0.722,0.8905795335769653,0
1,1,1Gi,0.1,1.0,0.6,0.1,1.0,0.3060743808746338,9.775161743164062e-06,0.289104700088501,2.86102294921875e-06,0.6497073173522949,latency_loss,0.736,0.736,0.853787636756897,1
1,1,1Gi,0.1,1.0,0.6,0.1,1.0,0.30527758598327637,8.821487426757812e-06,0.3021047115325928,2.6226043701171875e-06,0.6611716747283936,latency_loss,0.714,0.714,0.8729713439941407,2
1,1,1Gi,0.1,1.0,0.6,0.1,1.0,0.3024306297302246,1.0251998901367188e-05,0.26787424087524414,5.4836273193359375e-06,0.6229004859924316,latency_loss,0.653,0.653,0.8138788938522339,3
1,1,1Gi,0.1,1.0,0.6,0.1,1.0,0.33304810523986816,7.62939453125e-06,0.30017781257629395,3.0994415283203125e-06,0.6873266696929932,latency_loss,0.712,0.712,0.9007461071014404,4
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,0.25826454162597656,1.4543533325195312e-05,0.26847124099731445,2.384185791015625e-06,0.5745730400085449,latency_loss,0.64,0.64,1.1013126611709594,0
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,0.29470157623291016,6.341934204101562e-05,0.2852811813354492,5.4836273193359375e-06,0.6378993988037109,latency_loss,0.66,0.66,1.2178939819335937,1
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,0.2773702144622803,2.002716064453125e-05,0.24791884422302246,1.430511474609375e-06,0.5770223140716553,latency_loss,0.598,0.598,1.1023148059844972,2
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,0.25028014183044434,2.0265579223632812e-05,0.27004551887512207,1.1920928955078125e-06,0.5671670436859131,latency_loss,0.625,0.625,1.0874959230422974,3
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,0.26506614685058594,1.7404556274414062e-05,0.2881605625152588,1.9073486328125e-06,0.603935956954956,latency_loss,0.632,0.632,1.157166314125061,4
1,1,1Gi,1.0,1.0,0.8,0.1,1.0,0.2752976417541504,7.152557373046875e-06,0.29282712936401367,2.384185791015625e-06,0.6263344287872314,latency_loss,0.656,0.656,1.1359011650085449,0
1,1,1Gi,1.0,1.0,0.8,0.1,1.0,0.28531956672668457,1.6927719116210938e-05,0.25733399391174316,2.86102294921875e-06,0.597353458404541,latency_loss,0.672,0.672,1.0885574340820312,1
1,1,1Gi,1.0,1.0,0.8,0.1,1.0,0.21759295463562012,8.344650268554688e-06,0.24790549278259277,3.0994415283203125e-06,0.5187091827392578,latency_loss,0.55,0.55,0.9346351861953736,2
1,1,1Gi,1.0,1.0,0.8,0.1,1.0,0.26912641525268555,7.3909759521484375e-06,0.2734534740447998,3.0994415283203125e-06,0.5930371284484863,latency_loss,0.641,0.641,1.0809340238571168,3
1,1,1Gi,1.0,1.0,0.8,0.1,1.0,0.22806525230407715,6.198883056640625e-06,0.275418758392334,4.5299530029296875e-06,0.5553536415100098,latency_loss,0.576,0.576,1.0037605524063111,4
1,1,1Gi,1.0,1.0,0.8,1.0,0.6,0.2465963363647461,6.9141387939453125e-06,0.27057957649230957,1.430511474609375e-06,0.5690007209777832,latency_loss,0.601,0.601,0.8044687747955321,0
1,1,1Gi,1.0,1.0,0.8,1.0,0.6,0.32616114616394043,7.3909759521484375e-06,0.2854006290435791,2.6226043701171875e-06,0.6588773727416992,latency_loss,0.69,0.69,0.9498180866241455,1
1,1,1Gi,1.0,1.0,0.8,1.0,0.6,0.27293825149536133,7.3909759521484375e-06,0.2754991054534912,9.5367431640625e-07,0.5964317321777344,latency_loss,0.622,0.622,0.8512049198150635,2
1,1,1Gi,1.0,1.0,0.8,1.0,0.6,0.27321457862854004,7.3909759521484375e-06,0.25924134254455566,9.5367431640625e-06,0.5795259475708008,latency_loss,0.609,0.609,0.8283401489257813,3
1,1,1Gi,1.0,1.0,0.8,1.0,0.6,0.278522253036499,7.3909759521484375e-06,0.24722695350646973,1.6689300537109375e-06,0.5778656005859375,latency_loss,0.608,0.608,0.8230322360992431,4
1,1,1Gi,1.0,1.0,1.0,1.0,0.6,0.2279059886932373,1.33514404296875e-05,0.3006742000579834,2.86102294921875e-06,0.5794799327850342,latency_loss,0.687,0.687,0.8762843608856201,0
